ID,longitude,latitude,time
path3,73.03610853,33.71587484,8:58:20 AM
path3,73.03541342,33.71597489,8:58:40 AM
path3,73.03506777,33.716071,8:59:00 AM
path3,73.03449171,33.71607172,8:59:20 AM
path3,73.03403084,33.71607229,8:59:40 AM
path3,73.03356995,33.71607286,9:00:00 AM
path3,73.03311015,33.71597684,9:00:20 AM
path3,73.03230602,33.71568882,9:00:40 AM
path3,73.03184737,33.71530494,9:01:00 AM
path3,73.03092039,33.71492738,9:01:20 AM
path3,73.03011018,33.71473957,9:01:40 AM
path3,73.02908468,33.71454075,9:02:00 AM
path3,73.02862776,33.71444272,9:02:20 AM
path3,73.02748041,33.71424923,9:02:40 AM
path3,73.02702039,33.71424911,9:03:00 AM
path3,73.0263297,33.71424939,9:03:20 AM
path3,73.02575542,33.71444004,9:03:40 AM
path3,73.02552571,33.71463103,9:04:00 AM
path4,73.02885925,33.67564206,9:00:00 AM
path4,73.02852163,33.67634071,9:00:20 AM
path4,73.02767804,33.67731868,9:00:40 AM
path4,73.02666543,33.67815687,9:01:00 AM
path4,73.02564968,33.67913474,9:01:20 AM
path4,73.02497156,33.68053267,9:01:40 AM
path4,73.02462817,33.68109167,9:02:00 AM
path4,73.02378078,33.68207049,9:02:20 AM
path4,73.02310475,33.68249,9:02:40 AM
path4,73.02259706,33.6829096,9:03:00 AM
path4,73.02175252,33.68360904,9:03:20 AM
path4,73.02108166,33.68472826,9:03:40 AM
path4,73.02091338,33.68500806,9:04:00 AM
path4,73.02007419,33.68584734,9:04:20 AM
path4,73.01956356,33.68668708,9:04:40 AM
path4,73.01939149,33.68724702,9:05:00 AM
path4,73.01888425,33.68780688,9:05:20 AM
path4,73.01820581,33.68878686,9:05:40 AM
path4,73.01786409,33.68948716,9:06:00 AM
path4,73.01802801,33.68990763,9:06:20 AM
path4,73.01853188,33.68990785,9:06:40 AM
path4,73.01953923,33.69004835,9:07:00 AM
path4,73.02054398,33.69032924,9:07:20 AM
path4,73.02205472,33.69089004,9:07:40 AM
path4,73.0227268,33.69117037,9:08:00 AM
path4,73.02339959,33.69131058,9:08:20 AM
path4,73.02407173,33.69159093,9:08:40 AM
path4,73.02559012,33.69201058,9:09:00 AM
path4,73.02742226,33.69271496,9:09:20 AM
path4,73.02909627,33.69313767,9:09:40 AM
path4,73.02960026,33.69327816,9:10:00 AM
path4,73.03093824,33.69356092,9:10:20 AM
path4,73.03160715,33.69370243,9:10:40 AM
path4,73.03295227,33.69398369,9:11:00 AM
path4,73.03379865,33.69412285,9:11:20 AM
path4,73.03498997,33.69467992,9:11:40 AM
path4,73.0358275,33.69538215,9:12:00 AM
path4,73.03650323,33.69594203,9:12:20 AM
path4,73.03700798,33.69636268,9:12:40 AM
path4,73.03751514,33.6969225,9:13:00 AM
path4,73.03751205,33.69748427,9:13:20 AM
path4,73.03717087,33.69818685,9:13:40 AM
path4,73.03615661,33.69902904,9:14:00 AM
path4,73.03531336,33.69987025,9:14:20 AM
path4,73.03531273,33.70029104,9:14:40 AM
path4,73.03480474,33.70113317,9:15:00 AM
path4,73.03463309,33.70155521,9:15:20 AM
path4,73.03429313,33.7021174,9:15:40 AM
path4,73.03395564,33.70295873,9:16:00 AM
path4,73.03311187,33.70408072,9:16:20 AM
path4,73.03226642,33.70506345,9:16:40 AM
path4,73.03140843,33.70619358,9:17:00 AM
path4,73.03089136,33.7070416,9:17:20 AM
path4,73.03071791,33.7076056,9:17:40 AM
path4,73.03038115,33.70830672,9:18:00 AM
path4,73.03022051,33.70928375,9:18:20 AM
path4,73.03005035,33.7097055,9:18:40 AM
path4,73.02987928,33.71026815,9:19:00 AM
path4,73.02953742,33.71125312,9:19:20 AM
path4,73.02869328,33.71195489,9:19:40 AM
path4,73.02869196,33.71209609,9:20:00 AM
path4,73.02784503,33.71279973,9:20:20 AM
path4,73.02716799,33.71364295,9:20:40 AM
path4,73.02666059,33.71406463,9:21:00 AM
path4,73.02632143,33.71476736,9:21:20 AM
path4,73.02699541,33.71490856,9:21:40 AM
path4,73.02783845,33.71490928,9:22:00 AM
path4,73.02868142,33.71491005,9:22:20 AM
path4,73.03002349,33.71505687,9:22:40 AM
path4,73.03121102,33.71533303,9:23:00 AM
path4,73.03155052,33.71561221,9:23:20 AM
path4,73.03239415,33.71589322,9:23:40 AM
path4,73.03306852,33.71617464,9:24:00 AM
path4,73.03357502,33.7165956,9:24:20 AM
path4,73.03425081,33.71687577,9:24:40 AM
path4,73.03526616,33.71757505,9:25:00 AM
path4,73.036112,33.71799419,9:25:20 AM
path4,73.03746213,33.71855556,9:25:40 AM
path4,73.03763071,33.71869609,9:26:00 AM
path4,73.0388098,33.71926002,9:26:20 AM
path4,73.03931435,33.71954277,9:26:40 AM
path4,73.0401555,33.71996717,9:27:00 AM
path4,73.04099714,33.72025086,9:27:20 AM
path4,73.04183838,33.72081611,9:27:40 AM
path4,73.04234354,33.72109871,9:28:00 AM
path4,73.04301622,33.72152355,9:28:20 AM
path4,73.04386047,33.72180449,9:28:40 AM
path4,73.04436499,33.72236904,9:29:00 AM
path4,73.0440275,33.72264978,9:29:20 AM
path4,73.04352022,33.72321232,9:29:40 AM
path4,73.04267358,33.72405808,9:30:00 AM
path4,73.04182866,33.72462043,9:30:20 AM
path4,73.04115522,33.7248983,9:30:40 AM
path4,73.04081867,33.72517744,9:31:00 AM
path4,73.04030833,33.72644638,9:31:20 AM
path4,73.03997084,33.72686723,9:31:40 AM
path4,73.03963146,33.7275716,9:32:00 AM
path4,73.03929092,33.72827759,9:32:20 AM
path4,73.03861831,33.72855418,9:32:40 AM
path4,73.03777843,33.72840737,9:33:00 AM
path4,73.03710322,33.72840681,9:33:20 AM
path4,73.03659635,33.72812628,9:33:40 AM
path4,73.03626605,33.72755506,9:34:00 AM
path4,73.03559311,33.72713081,9:34:20 AM
path4,73.0350858,33.72671061,9:34:40 AM
path4,73.03440976,33.72657099,9:35:00 AM
path4,73.03474759,33.72643047,9:35:20 AM
path4,73.03542363,33.7265701,9:35:40 AM
path4,73.03609989,33.72699015,9:36:00 AM
path5,73.13388253,33.61498044,10:10:00 AM
path5,73.1323662,33.61401207,10:10:20 AM
path5,73.13135651,33.61359871,10:10:40 AM
path5,73.13017895,33.61290659,10:11:00 AM
path5,73.12866383,33.61194221,10:11:20 AM
path5,73.12782447,33.611807,10:11:40 AM
path5,73.12631524,33.61208828,10:12:00 AM
path5,73.12514449,33.61305611,10:12:20 AM
path5,73.12464206,33.61347314,10:12:40 AM
path5,73.12296664,33.61472545,10:13:00 AM
path5,73.12212998,33.61625683,10:13:20 AM
path5,73.12162755,33.61723375,10:13:40 AM
path5,73.12028677,33.619046,10:14:00 AM
path5,73.11844128,33.62043848,10:14:20 AM
path5,73.11760249,33.62141734,10:14:40 AM
path5,73.11625956,33.62322739,10:15:00 AM
path5,73.1154202,33.62434447,10:15:20 AM
path5,73.11441261,33.62532319,10:15:40 AM
path5,73.11273349,33.62686361,10:16:00 AM
path5,73.11105481,33.62882311,10:16:20 AM
path5,73.11088753,33.62938263,10:16:40 AM
path5,73.110214,33.63105835,10:17:00 AM
path5,73.10886596,33.63273336,10:17:20 AM
path5,73.10835993,33.63343173,10:17:40 AM
path5,73.1073461,33.63524844,10:18:00 AM
path5,73.10683909,33.63664791,10:18:20 AM
path5,73.10683634,33.63748716,10:18:40 AM
path5,73.10582181,33.63944851,10:19:00 AM
path5,73.10497808,33.64014972,10:19:20 AM
path5,73.1043085,33.64099195,10:19:40 AM
path5,73.10346738,33.64155331,10:20:00 AM
path5,73.10211495,33.64253528,10:20:20 AM
path5,73.10160744,33.64351737,10:20:40 AM
path5,73.10059085,33.64506158,10:21:00 AM
path5,73.09907137,33.64632568,10:21:20 AM
path5,73.09822692,33.64716848,10:21:40 AM
path5,73.09721267,33.64871378,10:22:00 AM
path5,73.09653473,33.65054046,10:22:20 AM
path5,73.09619562,33.65138388,10:22:40 AM
path5,73.09484692,33.6533503,10:23:00 AM
path5,73.09332767,33.65475578,10:23:20 AM
path5,73.09332612,33.65517794,10:23:40 AM
path5,73.09231273,33.65630259,10:24:00 AM
path5,73.09112479,33.65714933,10:24:20 AM
path5,73.09010999,33.65771284,10:24:40 AM
path5,73.08925548,33.65912427,10:25:00 AM
path5,73.0878963,33.66053525,10:25:20 AM
path5,73.0877256,33.6608176,10:25:40 AM
path5,73.08604026,33.66236255,10:26:00 AM
path5,73.08467936,33.66419704,10:26:20 AM
path5,73.08416583,33.66504541,10:26:40 AM
path5,73.08229436,33.66674228,10:27:00 AM
path5,73.08313681,33.66688481,10:27:20 AM
path5,73.08432075,33.66660279,10:27:40 AM
path5,73.08567105,33.66660419,10:28:00 AM
path5,73.08735574,33.66660856,10:28:20 AM
path5,73.08819772,33.66703372,10:28:40 AM
path5,73.08972322,33.66815731,10:29:00 AM
path5,73.09056483,33.66914677,10:29:20 AM
path5,73.09072985,33.66985503,10:29:40 AM
path5,73.09123142,33.6709882,10:30:00 AM
path5,73.09225394,33.67267116,10:30:20 AM
path5,73.09292739,33.67366132,10:30:40 AM
path5,73.09410632,33.67521914,10:31:00 AM
path5,73.09511838,33.67649312,10:31:20 AM
path5,73.09630242,33.67734097,10:31:40 AM
path5,73.09833254,33.67847246,10:32:00 AM
path5,73.09968623,33.67946264,10:32:20 AM
path5,73.10036318,33.68002832,10:32:40 AM
path5,73.10171753,33.68101835,10:33:00 AM
path5,73.10273296,33.68229191,10:33:20 AM
path5,73.10307016,33.68286099,10:33:40 AM
path5,73.10561279,33.68413064,10:34:00 AM
path5,73.10696657,33.68597658,10:34:20 AM
path5,73.107305,33.68654501,10:34:40 AM
path5,73.10815189,33.6876814,10:35:00 AM
path5,73.10849084,33.68924051,10:35:20 AM
path5,73.10849041,33.68980856,10:35:40 AM
path5,73.10992204,33.69147856,10:36:00 AM
path5,73.10992243,33.69316238,10:36:20 AM
path5,73.10992241,33.69372426,10:36:40 AM
path5,73.10992269,33.69555031,10:37:00 AM
path5,73.1100925,33.69709295,10:37:20 AM
path5,73.11009294,33.6977947,10:37:40 AM
path5,73.11026163,33.6997648,10:38:00 AM
path5,73.10924981,33.70145298,10:38:20 AM
path5,73.10891312,33.70243509,10:38:40 AM
path5,73.10790151,33.70398081,10:39:00 AM
path5,73.10705802,33.70524654,10:39:20 AM
path5,73.10671991,33.70581045,10:39:40 AM
path5,73.1062125,33.70750333,10:40:00 AM
path5,73.10553888,33.70890557,10:40:20 AM
path5,73.10537013,33.70974988,10:40:40 AM
path5,73.10486269,33.7111597,10:41:00 AM
